Spell Name,Area of Effect,Duration,Range,Description
1 - Detect Channel c,5'R,1 min/lvl,50',1 - DETECT CHANNELING (P) Detects any item or active spell from the channeling realm; he can concentrate on any SR' area within the range each
2 - Detect Essence c,5'R,1 min/lvl,50',"2- DETECT ESSENCE (P) As Detect Channeling, except realm si essence. "
3 - Detect Evil,5'R,1 min/lvl,50',"3 - DETECT EVIL (P) As Detect Channeling, except detects fi a being or item si evil OR if an item was created by evil OR fi an item was long used by a very evll person"
4 - Detect Curse c,5'R,1 min/lvl,50',"4- DETECT CURSE (P) As Detect Channeling, except detects curses on people or things."
5 - Location c,1 target,1 min/lvl,100',5 - LOCATION (P) Gives the direction and distance of any specific object or place that the caster is familiar with OR has had described in detail.
6 - Detect Traps c,5'R,1 min/lvl,50',"6 - DETECT TRAPS (P) As Detect Channeling, except it gives a 75% chance of detecting a trap (certain enchanted traps may receive modifications to this"
7 - Location c,1 target,1 min/lvl,300',"7-LOCATION (P) As above, except range is 300'."
8 - Detect Invisible c,5'R,1 min/lvl,50',"8 - DETECT INVISIBLE (P) As Detect Channeling, except detects invisible things; al attacks against an invisible thing os detected are modified by 5-0 (if the attack were otherwise impossible)."
9 - Location c,1 target,1 min/lvl,500',"9-LOCATION (P) As above, except range is 500'."
10 - Curse Tales,1 curse,-,10',"10 - CURSE TALES (I Caster can determine nature and origin of any 1 curse, including the identity of the originator of the curse."
