Treasure type,1000's of copper,1000's of silver,"1,000's of Electrum","1,000's of Gold",100's of platinum,Gems,Jewlery,Maps or Magic
A,1-6: 25%,1-6: 30%,1-6: 35%,1-10: 40%,1-4: 25%,4-40: 60%,3-30: 50%,Any 3: 30% 
B,1-8: 50%,1-6: 25%,1-4: 25%,1-3: 25%,nil,1-8: 30%,1-4: 20%,"Sword, armor, or misc weapon: 10%"
C,1-12: 20%,1-6: 30%,1-4: 10%,nil,nil,1-6: 25%,1-3: 20%,Any 2: 10%
D,1-8: 10%,1-12: 15%,1-8: 15%,1-6: 50%,nil,1-10: 30%,1-6: 25%,Any 2 plus 1 potion: 15%
E,1-8: 10%,1-12: 25%,1-6: 25%,1-8: 25%,nil,1-12: 15%,1-8: 10%,Any 3 plus 1 scroll: 25%
F,nil,1-20: 10%,1-12: 15%,1-10:40%,1-8:35%,3-30: 20%,1-10: 10%,"Any 3 except swords or misc. weapons, plus 1 potion & 1 scroll: 30%"
G,nil,nil,nil,10-40: 50%,1-20: 50%,5-20: 30%,1-10: 25%,Any 4 plus 1 scroll: 35%
H,nil,1-100: 40%,10-40: 40%,10-60: 55%,5-50: 25%,1-100: 50%,10-40: 50%,Any 4 plus 1 potion & 1 scroll: 15%
I,5-30:25%,nil,nil,nil,3-18: 30%,2-20: 55%,1-12:50% ,Any 1: 15%
J,nil,nil,nil,nil,nil,nil,nil,nil
K,3-24 Pieces per individual,3-18 pieces per individual,nil,nil,nil,nil,nil,nil
L,nil,nil,2-12 pieces per individual,nil,nil,nil,nil,nil
M,nil,nil,nil,2-8 pieces per individual,nil,nil,nil,nil
N,nil,nil,nil,nil,1-6 pieces per individual,nil,nil,nil
O,1-4: 25%,1-3: 20%,nil,nil,nil,nil,nil,nil
P,nil,1-6: 30%,1-2: 25%,nil,nil,nil,nil,nil
Q,nil,nil,nil,nil,nil,1-4: 50%,nil,nil
R,nil,nil,nil,2-8: 40%,10-60: 50%,4-32: 55%,1-12: 45%,nil
S,nil,nil,nil,nil,nil,nil,nil,2-8 potions: 40%
T,nil,nil,nil,nil,nil,nil,nil,1-4 scrolls: 50%
U,nil,nil,nil,nil,nil,10-80: 90%,5-30: 80%,1 of each magic excluding potions & scrolls: 70%
V,nil,nil,nil,nil,nil,nil,nil,2 of each magic excluding & scrolls: 85%
W,nil,nil,nil,5-30: 60%,1-8: 15%,10-80: 60%,5-40: 50%,1 map: 55%
X,nil,nil,nil,nil,nil,nil,nil,1 misc. magic plus 1 potion: 60%
Y,nil,nil,nil,2-12: 70%,nil,nil,nil,nil
Z,1-3: 20%,1-4: 25%,1-4: 25%,1-4: 30%,1-6:30 %,10-60:55%,5-30:50%,Any 3 magic: 50%
,,,,,,,,
