Percentage Chance,Item
1,Anything Armor
2-7,Bronze Plate Mail +1
8-11,Bronze Plate Mail +2
12-17,Buckler +1
18-21,Buckler +2
22-23,Buckler +3
24-25,Chain Mail +4
26-31,Elfin Chain Mail +1
32-35,Elfin Chain Mail +2
36-38,Elfin Chain Mail +3
39-40,Elfin Chain Mail +4
41,Elfin Chain Mail +5
42-50,Leather Armor +2
51-55,Leather Armor +3
56-62,"Plate Armor, Field +1"
63-68,"Plate Armor, Field +2"
69-71,"Plate Armor, Field +3"
72-73,"Plate Armor, Field +4"
74,"Plate Armor, Field +5"
75-80,"Plate Armor, Full +1"
81-84,"Plate Armor, Full +2"
85-87,"Plate Armor, Full +3"
88-89,"Plate Armor, Full +4"
90-93,Ring Mail +2
94-95,Scale Mail +3
96-100,Studded Leather +2
