Percentage Change,Item
1-15,Figurine of Wonderious Power
16,Flask of Curses
17-18,Gauntlets of Dexterity
19-20,Gauntlets of Fumbling
21-22,Gauntlets of Ogre Power
23-25,Gauntlets of Swimming and Climbing
26,Gem of Brightness
27,Gem of Seeing
28,Girdle of femininity/Masculinity
29,Girdle of Giant Strength
30,Helm of Brilliance
31-35,Helm of Comprehending Languages & Reading Magic
36-37,Helm of Opposite Alighment
38-39,Helm of Telepathy
40,Helm of Teleportation
41-45,Helm of Underwater Action
46,Horn of Blasting
47-48,Horn of Bubbles
49,Horn of Collapsing
50-53,Horn of the Tritons
54-60,Horn of Valhalla
61-63,Horseshoes of Speed
64-65,Horseshoes of a Zephyr
66-70,Incense of Meditation
71,Incense of Obsession
72,Ioun Stones
73-78,Instrument of the Bards
79-80,Iron Flask
81-85,Javelin of Lightning
86-90,Javelin of Piercing
91,Jewel of Attacks
92,Jewel of Flawlessness
93-100,Keoghtom's Ointment
