Percentage Chance,Item
1-5,Heward's Handy Haversack
6-10,Horn of Fog
11,Horn of Goodness
12,Horn of Evil
13-14,Iron Bands of Bilarro
15-18,Lens of Detection
19-21,Lens of Ultravision
22-23,Mantle of Celestian
24-27,Murlynd's Sppon
28-29,Pearl of the Sirines
30-31,Philosopher's stone
32-37,Pouch of Accessibility
38,Prison of Sagyg
39-40,Quiver of Ehlonna
41-42,Robe of Stars
43-48,Robe of Vermin
49-50,Scarab Versus Golems
51-54,Shadow Lanthorn
55-57,Sheet of Smallness
58-59,Shoes of Fharlanghn
60-64,Slippers of Kicking
65-70,Slippers of Spider Climbing
71-72,Sovereign Glue
73-77,Sppon of Stirring
78-81,Stone Horse
82-84,Ultimate Solution
85-88,Wind Fan
89-92,Zagyg's Flowing Flagon
93-100,Zagyg's Spell Component Case
