Percentage Chance,Item,Description
1,Ring of Rapid Regeneration,"This ring acts as a normal ring of regeneration with one major difference — it regenerates 1 hp per round rather than one per turn. This ring is created by combining a ring of regeneration with a rare distillation of troll’s blood and potions of speed during the enchantment process. One percent of the rings of regeneration found will be rings of rapid regeneration. XP Value: 5,000 GP Value: 50,000"
2,Ring of Para-Elemental Command,"The four types of rings of paraelemental command are lesser versions of the rings of elemental command. Each appears to be nothing more than a normal ring, but each has certain other powers as well as the following common properties: 1. Para-elementals of the plane to which the ring is attuned cannot approach within 5’ of the wearer or attack the wearer. If the wearer desires, he may forgo this protection and instead attempt to charm the para-elemental (saving throw applicable at -2 on the die). If the latter fails, however, total protection is lost, and no further attempt at charming can be made. The properties below still function with respect to the para-elemental. 2. Creatures, other than normal paraelementals, from the plane to which the ring is attuned attack at -1 on their “to hit” dice. The ring wearer takes damage at -1 on each hit die and makes applicable saving throws from the creatures’ attacks at +2. In addition, all attacks are made by the wearer of the ring at +4 “to hit” (or - 4 to the para-elemental creature’s saving throw), and the wearer does +6 damage (total, not per die) adjusted by any other applicable bonuses and/or penalties. Any weapon used by the ring wearer can hit para-elementals or quasi-elementals, even if the weapon is not magical. 3. The wearer of the ring is able to converse with the para-elemental creatures of the plane to which the ring is attuned. Recognizing that the character wears the ring, the creatures show a healthy respect to the wearer. Note that the Dungeon Master is free to create any new para-elementals for the relevant planes as desired. 4. In addition, the possessor of a ring of para-elemental command suffers a saving throw penalty as shown in Table 1. 5. Only one power (whether major or minor) of a ring of para-elemental command can be used at one time. Smoke: At will, the wearer produces the following magical effects: wall of fog (once per hour), fog cloud (twice per day), solid fog (once per week), or free action. The ring appears to be nothing more than a ring of free action until a certain condition is met (such as having the ring blessed, slaying a smoke para-elemental, or whatever is determined necessary to activate its full potential). Ice: At will, the wearer produces the following magical effects: ice storm (twice per day), wall of ice (twice per day), Otiluke’s freezing sphere (once per week), or warmth. The ring appears to be nothing more than a ring of warmth until the condition established is met Ooze: At will, the wearer produces the following magical effects: grease (once per turn), melt (once per hour), rock to mud (twice per day), or water walking. The ring appears to be nothing more than a ring of water walking until the condition established is met. Magma: At will, the wearer produces the following magical effects: burning hands (once per turn), affect normal fires (once per turn), flaming sphere (twice per day), or fire resistance. The ring appears to be nothing more than a ring of fire resistance until the condition established is met. Rings operate at the 12th-level of experience or the minimum level needed to perform the equivalent magic spell (if greater), with respect to range, duration, or area of effect determinations which might apply. The additional powers each take only five segments to bring forth. XP Value: 4,000 GP Value: 20,000"
3,Ring of Quasi-Elemental Command,"The eight types of quasi-elemental command rings are lesser versions of the paraelemental command rings. Each has certain powers (detailed below), as well as the following common properties: 1. Quasi-elementals of the plane to which the ring is attuned cannot approach within 5 of the wearer or attack the wearer. If the wearer desires, he or she may forgo this protection and instead attempt to charm the quasi-elemental (saving throw applicable at -2 on the die). If the latter fails, however, total protection is lost, and no further attempt at charming can be made. The secondary properties given below then function with respect to the quasi-elemental. 2. Creatures, other than normal quasielementals, from the plane to which the ring is attuned attack at -1 on their to hit dice. Also, the ring wearer takes damage at -1 on each hit die and makes applicable saving throws from the creatures attacks at +2. All attacks are made by the wearer of the ring at +4 to hit (or -4 to the quasi-elemental creatures saving throw) and the wearer does +6 damage (total, not per die) adjusted by any other applicable bonuses and/or penalties. Any weapon used by the ring wearer can hit quasi-elementals, even if the weapon is not magical. 3. The wearer of the ring is able to converse with the quasi-elemental creatures of the plane to which the ring is attuned. Recognizing that the character wears the ring, the creatures show a healthy respect to the ring wearer. Note that the Dungeon Master is free to create any new quasi-elementals for the relevant planes as desired. 4. In addition, the possessor of a ring of quasi-elemental command suffers a saving throw penalty as shown on Table 2. 5. Only one power of a ring of quasielemental command can be used at one time 6. All rings of quasi-elemental command detect as magic, but do not identify precisely until a certain condition is met (such as having the ring blessed, slaying a quasielemental of the type to which the ring is attuned, or whatever is determined necessary to activate its full potential). Lightning: At will, the wearer produces the following magical effects: shocking grasp (once per turn) or lightning bolt (four times per week). Steam: At will, the wearer produces the following magical effects: melt (once per turn) or fog cloud (twice per day). Radiance: At will, the wearer produces the following magical effects: rainbow pattern (once per hour) or sunray (twice per week). Mineral: At will, the wearer produces the following magical effects: transmute metal to wood (once per day) or wall of stone (once per day). Vacuum: At will, the wearer produces the following magical effects: unseen servant (once per day) or negative plane protection (four times per week). Salts: At will, the wearer produces the following magical effects: irritation (twice per day) or preserve (twice per day). Ash: At will, the wearer produces the following magical effects: pass without trace (once per hour) or detect invisibility (once per hour). The ring appears to be nothing more than a magic ring until the condition established is met. Dust: At will, the wearer produces the following magical effects: dust devil (once per day) or transmute water to dust (once per day). Rings operate at the 12th-level of experience or the minimum level needed to perform the equivalent magic spell or wand effect (if greater), with respect to range, duration, or area of effect determinations which might apply. The powers take only five segments to bring forth. XP Value: 2,000 GP Value: 10,000"
4,Ring of Range Extension,"This item allows any spellcaster (including rangers, paladins, and the like) to voluntarily extend the range of any spell cast, save those spells with ranges of 0 or touch. Each such ring contains 2-40 charges and cannot be recharged. Each charge used increases the range of any spell cast by the amount listed as the normal range. Thus, if one charge is used, the range is doubled; two charges triple the range, three quadruple it, and so on. A ring of range extension may be successfully used on spells cast from scrolls or other magical devices, but cannot be used to cast a spell into a plane other than that which the user currently occupies. XP Value: 2,000 GP Value: 10,000"
5,Ring of Clairaudience,"This ring's gem is a small amethyst with a normal value of 100 gp. The amethyst is easily separated from the ring; it can then be placed in a location on which the owner wishes to eavesdrop. A pick pockets roll allows a thief to secretly slip the amethyst into the clothes of another character. Any character can hide the gem in an empty room, barring extraordinary circumstances. Whatever is said within 60 of the amethyst is magically transmitted to the ring itself, and the words are then heard by the ring-wearer alone. The gem-ring connection has a range of 48, but only transmits sounds that could be heard by a normal human in the same location as the amethyst. XP Value: 1,000 GP Value: 7,500"
6,Ring of Teleportation,"This enchanted ring commonly has 3-30 charges when found. The rings gem is a deep blue spinel worth 500 gp if sold as an ordinary gem. The gem is easily separated from the ring and placed anywhere to which the rings user wishes to be transported at a later time. By expending one charge, the wearer of the ring is teleported without error to a safe location within 5 of the spinel. The gem can be retrieved and reused as long as the ring retains at least one charge. If no safe location exists near the location of the gem (say, if it is buried under 10 of earth or is inside a burning building), the ring expends four charges and nothing happens. The gem must be obtained in order for the ring to work again. XP Value: 2,000 GP Value: 15,000"
7,Ring of Command,"A ring of command commonly has 3-30 charges when found. The ring has the following abilities, only one of which can be used at any one time: 1. Command: This ability duplicates the first-level clerical spell with the same name. Creatures with an intelligence of 13 or better (highly intelligent and above monsters) or with more than 5 HD or levels are entitled to a saving throw versus spells. A command uses up one charge for every round the command is in effect. For instance, an orc could be told to die! and would stay dead (unconscious) for five rounds if five charges were spent. 2. Charm person: This power is the same as the first-level magic-user spell. Two charges must be spent to charm a character, and an additional charge per day must be expended to continue the spell each day thereafter. The victim is allowed a saving throw vs. spells to negate the charm. A character using a ring of command can expend another two charges to try again, of course, in the event of spell failure. 3. Suggestion: This ability is similar to, the third-level magic-user spell. The target of a suggestion is allowed a saving throw vs. spells, as with charm person above. A suggestion costs two charges and lasts for one hour. More charges can be spent for additional hours, at a rate of one per hour, as desired. All of these powers only work on the humanoids listed in the Players Handbook under charm person, and their counterparts in the FIEND FOLIO® Tome and Monster Manual II. XP Value: 2,000 GP Value: 10,000"
8,Ring of Phantom Form,"The user of this ring can disperse his bodys molecules at will, so as to become totally intangible. This ring does not allow the user to become invisible, as he will appear to be translucent in form. (Rings of invisibility and phantom form cannot be used together at the same time. The spell invisibility can be successfully cast upon the user of a ring of phantom form, however.) An intangible character cannot be hit by normal weapons, but is affected normally by weapons with a +1 or better magical bonus. An intangible character cannot physically attack, but may cast spells. Heat, cold, and electrical attacks (lightning bolt, fireball, etc.) affect an intangible character normally. The user of a ring of phantom form can move through screens, pipes, and other narrow apertures at a 12 movement rate. All items carried by a character in phantom form are likewise rendered intangible. If a character fails a saving throw against any magical attack form which can harm him, all carried items must likewise save vs. that attack form or else be destroyed. XP Value: 1,500 GP Value: 7,500"
9,Ring of Shape Changing,"This ring commonly possesses 3-30 charges when found. Each of the charges expended allows the wearer to shape change as per the ninth-level magic-user spell shape change. The wearer of this ring may change back to his original form at will, without expending a ring charge. However, there is a 2% chance per shape assumed that the wearer permanently assumes the form of the thing into which he changes. In this event, the character assumes all mental and personality-related characteristics of this new form 2-16 days after taking the form. A character stuck in an unfamiliar form can only regain his former shape by having dispel magic, alter reality, limited wish, or wish cast upon him. XP Value: 2,500 GP Value: 15,000"
10,Ring of Tongues,"The wearer of this magical ring can understand, read, write, and speak any language known by any creature within 30 of the ring, as long as that creature stays within the area of effect. Two rings of this sort within 30 of each other automatically cancel each other out. Additionally, it is possible for a character wearing this ring to learn a language (where this learning is warranted, as by an increase in intelligence or similar circumstance) from another character as expressed in the rules regarding language learning; half the normal time for this is required. (For further information on this, see page 34 of the Players Handbook.) XP Value: 1,000 GP Value: 5,000"
