Percentage Change,Item
1,Anything
2-5,Buckler
6-7,Conjuration
8-10,Defoilation
11-12,Earth & Stone
13-16,Enemy Detection
17-20,Fear
21-22,Fire
23-26,Fireballs
27-30,Flame Extinguishing
31,Force
32,Frost
33-35,Ice Storms
36-39,Illumination
40-43,Illusion
44-45,Lightning
46-49,Lightning Bolts
50-53,Magic Detection
54-61,Magic Missiles
62-66,Metal & Mineral Detection
67-68,Metal Command
69-74,Negation
75-78,Paralyzation
79-82,Polymorphing
83-86,Secret Door & Trap Location
87-90,Size Alteration
91-92,Steam & Vapour
93-100,Wonder
